region,year,month,profit
Central,2017,11,236.2325
West,2017,5,2.691
East,2016,12,1.3596
West,2017,11,13.348
West,2017,11,9.688
Central,2015,9,2.7324
Central,2015,9,-1359.992
Central,2015,9,-58.6347
Central,2015,9,-24.858
Central,2015,9,6.8136
Central,2015,9,-453.849
Central,2015,9,8.9985
West,2015,8,9.8418
West,2015,8,53.2608
West,2015,8,21.259
Central,2015,9,-131.12
Central,2015,9,6.552
Central,2018,4,-243.16
East,2016,11,-11.3372
East,2016,11,-3.7715
East,2016,12,1.4104
Central,2015,12,1.8612
Central,2015,12,76.6395
South,2015,11,131.0296
South,2015,11,41.986
South,2015,11,7.25
East,2017,11,3.4368
West,2015,8,22.984
Central,2017,7,3.7224
Central,2017,7,6.255
East,2016,10,112.392
East,2016,10,20.0928
East,2016,10,24.8832
East,2018,8,5.369
East,2016,10,46.9764
East,2016,10,6.567
West,2016,10,6.7116
East,2015,3,1.2038
East,2015,3,1.5876
East,2018,11,12.0276
East,2018,7,-2.2586
East,2018,7,5.8203
East,2018,6,6.795
West,2015,8,-161.875
West,2015,8,0.2925
Central,2018,12,-178.9668
South,2018,6,9.6712
West,2018,12,44.4768
Central,2018,12,5.8744
Central,2018,12,35.6346
Central,2018,12,7.4824
Central,2018,12,16.2099
Central,2018,12,3.6796
Central,2016,2,6.5
East,2016,1,8.88
East,2016,1,-244.323
East,2016,1,-14.6958
East,2016,1,-950.4
East,2016,1,4.4792
West,2017,10,26.0568
West,2017,10,22.6782
East,2016,12,1.8148
East,2016,12,8.2302
East,2016,12,-13.8432
East,2016,12,19.0848
East,2016,12,-383.9904
East,2016,12,2.7168
Central,2016,8,0.968
Central,2016,8,136.939
Central,2016,8,0.2198
South,2016,2,-28.2744
South,2016,2,43.8408
South,2015,9,-12.432
South,2018,4,-102.048
South,2018,4,-248.2458
South,2018,4,-3.552
South,2018,4,0
South,2018,4,-7.7247
West,2018,11,4.752
Central,2017,6,9.396
Central,2017,6,-356.728
Central,2017,6,-4.6752
Central,2017,6,11.1944
Central,2017,6,-120.513
Central,2017,6,-2.8308
Central,2017,6,1.2038
Central,2015,6,580.5394
Central,2015,6,41.68
Central,2015,6,23.94
Central,2015,6,496.0725
Central,2015,6,12.4416
West,2017,12,28.1372
West,2017,9,3.5767
West,2017,9,636.0003
East,2017,12,22.5624
East,2017,12,162.864
Central,2016,11,-8.4924
Central,2016,11,-19.5624
Central,2016,11,4.044
Central,2016,11,56.6916
East,2018,12,6.9258
East,2018,12,6.6465
East,2018,12,6.132
Central,2018,6,-4.466
Central,2015,9,-509.997
Central,2015,9,-251.9958
Central,2017,6,28.7196
West,2016,11,35.156
South,2018,6,4.7304
East,2017,1,0.3024
East,2018,12,-7.4416
East,2018,12,21.591
West,2018,12,210.4936
West,2016,7,92.3692
West,2016,7,2.3232
West,2016,7,4.095
West,2018,9,4.0572
West,2018,9,1.5548
East,2018,10,4.0768
East,2018,10,5.9072
East,2018,10,5.9712
East,2018,10,8.694
Central,2016,9,-3.432
Central,2016,9,376.11
West,2016,11,51.942
West,2016,9,47.844
West,2016,9,47.96
West,2016,9,10.8864
South,2017,12,-169.372
South,2017,12,24.316
South,2017,12,-204.3145
East,2017,11,6.6836
East,2017,11,6.2424
East,2017,11,54.3966
East,2017,11,-48.7032
West,2015,12,78.8592
West,2015,12,20.1558
West,2015,12,-24.5646
West,2015,12,-62.88
West,2015,12,9.2988
East,2017,10,15.552
East,2017,10,10.8248
East,2017,10,27.3168
East,2017,10,38.024
East,2017,10,6.5688
Central,2018,11,-131.445
East,2016,5,12.864
Central,2015,12,2.8536
East,2015,6,20.9208
East,2015,6,83.868
South,2018,4,2.0049
West,2017,9,3.5948
West,2017,9,52.5114
West,2017,9,1.7136
West,2017,9,2.0358
East,2015,9,37.6422
South,2015,8,22.298
South,2015,8,5.4432
East,2015,12,8.6744
East,2015,11,24.1568
East,2015,11,1995.99
East,2015,11,80.0226
East,2015,11,129.6
East,2015,11,13.071
West,2015,9,3.58
West,2017,4,81.744
West,2017,4,34.9965
South,2018,11,0.9995
East,2017,8,-67.8762
East,2017,8,3.389
East,2017,8,-258.5016
East,2017,8,33.831
East,2017,8,-27.6936
East,2017,4,-20.7
East,2017,4,-13.816
East,2017,4,-3.4272
West,2016,9,1.6038
West,2016,9,335.9944
West,2016,9,4.49
West,2015,7,2.7956
West,2015,7,-17.4588
West,2016,6,2.3312
East,2015,4,1.116
East,2015,4,-407.976
East,2015,4,10.0724
East,2015,4,8.3916
Central,2016,12,-2.22
West,2018,6,4.7976
East,2018,7,3.0996
East,2018,7,11.5432
East,2018,7,4.1472
East,2017,9,2.3086
East,2017,9,11.5432
East,2017,9,1.0668
East,2017,9,23.0864
East,2017,9,1415.4296
East,2017,4,-4.8588
East,2017,4,3.7996
East,2017,4,6.9864
East,2017,4,15.824
South,2017,4,11.325
South,2018,3,168.4384
South,2018,3,9.936
East,2018,9,9.936
East,2018,9,86.8704
East,2018,9,1.4456
East,2018,9,20.7328
West,2015,9,8.4784
East,2017,10,10.44
East,2017,10,0.1472
East,2017,10,29.3412
East,2017,10,271.4192
Central,2018,5,9.396
Central,2018,5,4.6746
West,2015,7,-5.712
West,2015,7,179.1888
West,2015,7,0.924
West,2015,7,-29.94
Central,2017,9,30.98
East,2018,8,-297.6848
Central,2016,4,-20.3322
Central,2016,4,2.6811
Central,2016,4,-18.8728
West,2017,10,25.48
West,2017,10,17.3376
Central,2016,6,8.799
South,2016,11,-157.0095
South,2016,11,-1.0497
East,2016,12,-337.638
East,2016,12,0.777
East,2015,11,0.4264
East,2018,12,7.884
East,2018,12,13.5932
West,2015,9,27.7182
West,2015,9,701.9883
Central,2015,6,-20.5623
West,2018,6,25.5798
East,2018,10,9.4924
East,2018,10,6.2208
Central,2016,10,21.036
Central,2017,9,3.5952
Central,2017,9,-317.1528
Central,2017,9,-32.784
Central,2017,9,0.7198
South,2015,12,3.4684
South,2015,4,9.768
East,2018,12,9.6957
West,2018,12,37.7895
West,2018,12,434.9913
West,2018,12,13.3035
West,2018,12,-112.9527
West,2018,12,4.6464
West,2018,12,13.608
West,2018,12,27.4302
West,2018,12,31.4548
West,2018,12,-18.4548
West,2018,11,65.7342
West,2018,11,26.8744
West,2018,6,25.8984
West,2017,4,38.38
South,2018,11,2.8322
West,2018,3,2.7028
West,2018,3,7.015
West,2015,6,56.5662
East,2018,10,14.7056
East,2018,10,8.502
South,2018,8,225.264
Central,2018,11,11.076
Central,2018,11,138.2016
East,2015,9,30.0957
Central,2018,10,0.5004
South,2017,4,-145.3508
South,2017,4,76.6395
South,2017,4,54.7425
South,2017,4,-0.7748
East,2017,6,207.147
South,2015,12,-3.6892
South,2015,12,-18.585
Central,2017,6,43.1991
Central,2017,6,113.6394
Central,2018,9,11.5536
East,2018,1,2.3094
Central,2017,9,3.666
Central,2017,9,23.3928
Central,2017,9,20.5755
Central,2017,9,42.0256
Central,2017,9,29.1528
Central,2017,9,10.584
Central,2018,3,1.3677
East,2017,4,15.4752
East,2017,4,9.7164
East,2017,4,71.2476
East,2017,4,7.9248
East,2017,4,2.8536
East,2017,4,9.1312
East,2018,10,-75.8304
East,2018,10,66.5408
Central,2017,12,24.9132
West,2015,2,-24.294
Central,2017,9,-96.1146
Central,2017,9,3.348
West,2016,12,36.372
West,2016,12,377.9622
West,2016,12,18.6006
West,2017,4,7.068
West,2017,4,-814.4832
West,2017,4,-20.889
West,2017,4,-34.758
West,2017,4,5.8704
Central,2016,1,-312.0614
Central,2018,3,-36.2352
Central,2017,12,-7.9002
East,2016,12,26.6304
West,2015,11,3.4092
West,2015,11,10.4784
West,2015,11,87.996
West,2015,11,24.9804
West,2015,11,28.819
West,2015,11,45.528
West,2017,7,7.182
East,2017,10,19.296
East,2017,6,6.615
East,2017,6,84.51
West,2015,10,1.9089
East,2015,7,1.6688
East,2015,7,57.5928
West,2018,6,14.8
West,2018,6,-30.245
West,2018,6,17.4975
Central,2015,10,341.994
Central,2015,6,0.5994
Central,2015,6,10.3974
Central,2015,6,6.1572
East,2015,9,8.983
East,2015,9,5.0922
West,2017,5,13.1572
South,2017,3,-94.941
South,2016,12,51.6558
West,2017,7,40.3704
West,2017,7,81.8432
West,2017,7,18.1176
West,2017,7,22.869
West,2017,5,-15.08
West,2017,5,-11.9616
West,2017,5,50.098
West,2017,5,-1.9008
West,2017,5,11.8871
East,2018,11,5.373
South,2016,3,0.7398
South,2016,3,2.1684
South,2016,3,11.685
South,2016,3,3177.475
Central,2018,11,40.416
Central,2018,11,12.1728
East,2017,10,0.7152
West,2018,12,1.7901
West,2018,12,1.7052
West,2018,1,1379.977
West,2018,1,13.8915
West,2018,1,5.382
West,2018,1,56.301
Central,2016,3,5.2877
Central,2016,3,-25.9136
East,2018,8,15.7872
Central,2016,3,-21.168
Central,2018,1,21.098
West,2017,5,-12.4146
West,2017,4,9.8625
West,2017,5,27.1666
East,2016,12,10.434
South,2018,10,42.747
South,2018,10,5.1408
East,2016,9,-7.2672
East,2016,9,-149.9058
East,2016,9,19.692
West,2016,11,11.92
West,2018,9,2.397
South,2017,5,274.386
South,2017,5,11.375
West,2017,7,1.4672
Central,2018,9,-68.1856
East,2016,12,3.36
South,2016,12,41.2938
South,2016,12,70.98
Central,2015,2,206.316
West,2017,7,38.0864
East,2016,12,-145.5246
Central,2015,5,7.264
Central,2015,5,6.2995
Central,2015,5,-84.2928
East,2018,11,13.932
East,2018,11,6.4128
Central,2016,11,15.642
Central,2016,11,-17.046
Central,2016,11,-1.744
West,2017,4,0
South,2018,9,6.0382
Central,2018,11,2.5707
West,2018,6,310.9872
South,2015,3,3.4048
West,2017,6,9.936
West,2017,6,-217.048
West,2017,6,15.552
West,2018,11,16.614
West,2018,11,27.3182
South,2015,9,1.3
South,2015,9,3.7743
West,2016,12,0
West,2016,12,1.2006
West,2018,12,46.797
West,2018,10,45.0016
West,2018,10,27.3672
West,2018,10,9.3312
West,2018,10,0
East,2018,12,34.776
East,2018,12,6.4216
East,2018,12,11.2266
East,2018,12,4.0095
West,2017,11,2.3814
West,2016,9,78.7528
West,2016,9,9.7608
West,2016,9,2.19
Central,2018,7,8.714
Central,2018,7,-5.7148
West,2016,9,1.5456
West,2018,12,52.9173
West,2018,12,9.2386
West,2018,12,3.5046
West,2018,12,-4.7481
West,2018,12,30.4776
South,2016,7,4.9686
South,2016,7,144.5157
West,2017,3,-20.1362
West,2017,3,7.2576
West,2017,3,-12.8961
West,2017,3,3.6288
Central,2015,1,1.168
Central,2015,1,9.75
West,2015,8,22.0748
West,2015,8,434.9913
West,2015,8,55.745
West,2015,8,91.7728
East,2017,7,1.0178
East,2017,7,-28.7964
East,2017,7,-115.3544
East,2017,7,0.73
South,2015,3,17.847
South,2015,3,5.1408
South,2015,3,-5.5338
South,2015,3,-31.6712
South,2015,3,47.8152
East,2015,5,-2.6256
East,2015,5,2.3814
East,2015,5,-10.1178
Central,2017,4,41.5773
Central,2017,4,5.6956
East,2017,9,2.64
East,2017,9,-157.9383
East,2018,11,15.992
East,2018,11,-2.7968
East,2018,8,3.0814
East,2018,8,33.57
East,2018,8,10.9939
East,2018,8,27.2862
Central,2015,12,-14.773
Central,2016,11,87.5684
Central,2016,11,178.901
Central,2016,11,130.87
Central,2016,11,46.9278
East,2018,9,12.0904
West,2018,5,28.1764
West,2018,12,5.1435
West,2018,12,6.0858
West,2017,12,-51.7191
West,2017,12,29.95
West,2017,12,30.0768
South,2018,9,2.4585
South,2018,9,85.5297
South,2016,10,43.2234
West,2017,8,-13.8468
West,2017,8,12.2328
West,2017,5,272.792
West,2017,5,5.0128
Central,2017,12,6.0288
West,2018,7,85.904
West,2018,7,12.6
Central,2018,6,54.3332
East,2018,7,3.1752
Central,2018,12,56.511
West,2017,4,3.0144
West,2017,12,6.068
West,2017,12,22.6782
West,2017,12,31.6
East,2017,10,178.318
East,2018,6,45.9754
East,2018,6,10.312
East,2017,8,8.5164
East,2017,8,-2.6544
East,2017,8,45.3222
Central,2017,9,-50.098
Central,2017,9,-3.462
Central,2016,8,124.929
Central,2016,8,-135.765
Central,2016,8,-118.1295
Central,2016,8,-4.2222
East,2017,3,18.398
South,2017,11,5.2626
Central,2018,6,2.079
Central,2018,6,28.7064
Central,2018,6,28.6182
East,2015,12,8.7285
Central,2018,6,-14.3856
Central,2018,6,-71.8905
Central,2018,6,11.36
Central,2018,6,1.7115
Central,2018,12,16.5888
Central,2018,12,17.505
Central,2018,12,40.7499
Central,2018,3,-7.392
Central,2018,3,4.5201
Central,2018,3,-41.262
Central,2018,3,-320.2395
East,2017,11,4.6644
East,2017,11,2.5984
East,2017,11,18.522
South,2018,11,-3839.9904
South,2018,11,14.651
South,2015,7,163.1898
South,2015,7,6.8714
South,2015,7,9.3312
East,2018,12,4.7996
South,2015,6,14.5614
South,2015,6,74.0532
South,2015,6,10.3152
West,2016,3,24.936
West,2016,3,16.032
East,2016,5,17.3488
East,2016,5,17.76
East,2016,5,62.8075
East,2016,5,31.7512
East,2016,5,0.8088
East,2016,5,-13.6312
East,2016,5,-3.4272
East,2018,9,4.1448
West,2017,11,35.6796
West,2016,4,-13.8717
South,2015,9,3.6288
South,2015,9,18.7695
South,2015,9,2.2824
East,2015,12,52.7824
East,2015,12,-110.49
East,2015,12,15.768
East,2015,4,26.6304
South,2018,9,8.8624
East,2018,5,109.7226
East,2018,5,89.3142
East,2018,5,113.9886
West,2015,7,6.972
East,2015,1,3.0814
East,2018,9,24.4758
West,2015,6,19.4376
West,2015,6,21.996
West,2017,2,73.41
Central,2017,12,231.4116
Central,2017,12,80.0199
East,2015,10,21.112
South,2017,7,5.1282
Central,2018,9,6.3684
Central,2018,9,5.5992
East,2017,12,84.0512
East,2017,12,-153.3456
East,2017,12,10.089
East,2017,12,102.4998
East,2017,12,3.024
West,2018,1,9.7176
West,2018,1,86.3856
West,2018,1,33.6474
West,2018,1,9.4284
West,2018,1,18.6956
West,2018,1,6.552
West,2015,9,8.4966
Central,2015,1,4.2717
Central,2015,1,-64.7748
Central,2015,1,-5.487
Central,2017,8,-10.948
Central,2017,8,1.1466
Central,2017,8,1.6762
Central,2017,8,6.2064
West,2015,5,-28.356
West,2015,5,7.1864
Central,2017,3,0.8994
Central,2018,10,26.703
Central,2018,10,56.7864
Central,2018,10,22.792
Central,2018,10,1.4112
West,2017,4,374.9925
West,2016,12,28.7712
South,2017,9,-167.3184
Central,2015,12,6.8768
Central,2015,12,47.92
East,2018,7,4.2666
Central,2018,9,10.224
West,2016,8,27.9936
South,2018,11,5.6994
East,2016,2,-26.9955
South,2015,1,5.3392
South,2015,1,25.47
South,2015,1,258.696
South,2015,1,2.7072
South,2015,1,34.3548
South,2015,5,23.316
South,2017,5,179.7488
Central,2018,1,9.14
Central,2018,1,51.75
Central,2018,1,16.175
Central,2018,1,3.4695
Central,2018,1,10.881
Central,2018,1,14.5236
East,2015,6,3.6855
West,2016,8,40.8006
West,2016,8,28.1718
West,2016,8,11.7208
West,2016,8,1.926
East,2016,10,-22.449
East,2016,10,-2.7
East,2016,10,-15.6156
East,2016,10,0.5998
South,2016,5,87.7443
West,2018,3,5.8914
West,2016,12,34.8928
South,2016,6,69.1008
South,2016,6,4.1634
South,2016,6,21.0896
South,2016,6,79.9056
South,2017,5,85.2475
West,2015,9,4.5816
West,2015,9,10.6428
Central,2018,9,9.8784
East,2016,12,63.7392
East,2016,12,6.2208
East,2016,12,10.3488
West,2016,11,17.745
West,2018,2,7.3359
South,2018,6,17.1574
West,2018,2,18.8972
East,2017,8,99.4896
South,2017,3,6.2208
West,2018,4,6.2152
West,2015,11,4.3176
West,2015,11,247.996
Central,2016,2,11.076
Central,2016,2,50.9898
West,2015,10,3.2256
West,2015,10,311.652
West,2015,10,62.0368
West,2015,10,2.578
West,2018,5,6.2152
West,2018,5,601.9699
Central,2016,3,24.8832
East,2017,9,1.8704
East,2015,6,14.5152
East,2015,6,-2.4288
East,2015,6,0
East,2015,6,-22.7964
East,2015,6,117.432
East,2018,6,71.991
East,2018,6,4.8118
West,2015,5,4.068
West,2015,5,40.3128
Central,2018,8,16.8
Central,2018,8,10.7996
Central,2018,8,7.4872
South,2018,6,90.588
South,2018,6,50.5848
South,2018,6,51.8346
South,2017,7,2.6412
South,2017,7,6.5164
South,2017,7,-111.4995
Central,2015,9,-79.3352
South,2018,11,3.2616
Central,2017,3,1.5804
East,2016,11,16.3215
East,2016,11,3.3408
East,2016,11,9.3024
West,2017,11,11.7
West,2017,11,8.7672
West,2017,11,3.2944
West,2017,11,6.8714
South,2016,10,23.4416
South,2016,10,77.7438
East,2018,1,8.5568
East,2015,2,49.6048
West,2017,6,1.3416
West,2017,6,18.6624
South,2017,5,50.1876
East,2017,2,14.6718
East,2017,2,9.7176
East,2015,8,18.7812
East,2015,8,26.598
East,2015,8,5.7672
East,2018,4,3.5767
East,2018,4,3.58
West,2015,6,0.1472
West,2015,6,10.626
South,2017,1,40.6878
South,2017,1,0.5904
South,2017,1,5.1786
South,2015,1,1.3583
South,2015,1,21.2954
East,2017,9,5.1792
East,2015,4,-35.928
East,2017,9,-760.98
East,2017,9,-46.797
East,2016,10,17.22
East,2015,12,5.2256
East,2015,12,37.2204
South,2018,8,67.256
East,2017,1,64.518
East,2017,1,13.1956
East,2017,1,66.9546
East,2015,9,-4.1244
East,2018,11,23.1093
East,2018,11,262.39
South,2016,10,8.3268
West,2018,12,5.9312
Central,2017,10,10.048
East,2015,4,5.9364
West,2016,4,4.5318
West,2018,6,1.6752
East,2018,10,18.4534
West,2015,12,16.9932
East,2018,6,14.995
East,2018,6,18.6006
Central,2018,6,2.043
Central,2018,6,5.4128
Central,2018,6,135.98
Central,2017,11,3.6288
West,2017,11,42.0714
West,2017,11,24.5028
Central,2017,10,5.0856
Central,2015,9,51.8
East,2018,10,22.5408
East,2017,4,-6.5296
Central,2018,11,3.393
Central,2018,11,-32.088
Central,2018,9,20.2485
West,2017,4,9.6192
West,2017,4,2.5984
West,2017,4,6.2208
East,2018,12,12.1176
East,2018,12,2.7279
East,2018,12,19.791
Central,2018,9,323.946
Central,2018,9,829.3754
Central,2018,9,81.0474
East,2016,5,9.102
Central,2018,11,19.2454
Central,2018,11,56.0547
Central,2015,6,-18.5562
Central,2015,6,-56.996
Central,2015,6,-14.5656
Central,2017,3,50.4063
Central,2017,3,-0.812
South,2015,12,6.8768
East,2016,4,34.9074
East,2016,4,10.5552
East,2016,4,113.848
East,2017,9,294.5488
East,2015,9,5.4432
East,2015,9,53.55
South,2016,10,12.936
South,2016,10,9.5172
East,2018,4,2.5536
East,2018,4,21.3408
East,2018,4,5.0286
East,2018,9,4.1148
East,2017,6,15.2064
East,2017,6,-21.7932
East,2017,6,5.4432
East,2017,6,33.5772
West,2018,11,54.3966
West,2016,12,6.2208
West,2016,12,34.9648
West,2017,6,8.0464
West,2017,12,2.2098
West,2017,12,41.7852
West,2016,5,15.552
West,2016,5,140.5482
West,2016,5,62.91
West,2016,7,-204.4458
East,2018,11,-12.9122
East,2018,11,75.5424
East,2018,11,-619.596
East,2018,11,5.4432
East,2018,11,7.92
East,2018,4,7.6416
Central,2018,12,2.7168
Central,2018,12,-11.596
South,2018,11,43.45
West,2018,5,2.5893
West,2018,5,-3.168
West,2018,5,5.6376
West,2016,9,53.196
West,2018,11,28.1372
South,2016,11,3.0576
West,2017,9,10.94
South,2015,9,1.6704
East,2018,4,4.8118
East,2018,4,9.7119
East,2018,4,6.2208
East,2018,4,91.968
East,2018,4,4.2336
East,2018,4,0
East,2015,1,28.5984
East,2015,1,-31.05
East,2015,1,-13.6312
East,2015,1,10.1493
East,2018,10,3.2186
East,2018,10,25.5798
West,2018,7,-0.792
Central,2018,1,679.996
South,2017,5,-2.6256
Central,2016,12,16.6698
East,2017,10,93.2232
West,2015,11,0.8056
West,2015,11,55.9984
West,2015,11,75.49
Central,2018,9,2.5896
Central,2018,9,9.4392
Central,2018,9,44.868
Central,2016,3,-1.8904
East,2018,5,72.807
East,2018,5,5.2113
South,2016,3,131.2785
East,2017,9,5.484
West,2017,8,4.9104
West,2017,8,69.705
South,2015,5,1276.4871
South,2015,5,173.0316
South,2016,10,4.9082
South,2016,10,9.8901
South,2016,10,9.158
South,2016,10,12.9129
West,2017,11,11.4452
East,2016,7,762.1845
East,2016,7,-290.8752
East,2016,7,9.3312
West,2016,8,92.0835
South,2016,11,40.3536
West,2016,11,2.478
West,2016,11,-3.5208
Central,2018,12,20.585
Central,2018,8,5.999
West,2015,11,27.3096
West,2018,6,46.575
West,2018,6,4.0687
West,2016,12,356.0414
West,2016,12,36.852
West,2016,9,15.552
East,2016,7,6.7008
East,2016,7,63.8862
East,2016,7,2.499
East,2016,7,156.429
East,2016,4,8.8686
East,2016,4,316.8825
East,2016,4,648.5624
East,2016,6,2.1728
West,2018,12,4.2804
East,2017,1,5.4432
East,2017,1,20.5764
East,2017,1,-9.8724
East,2015,7,83.284
East,2015,7,57.4113
East,2015,7,213.735
East,2015,7,52.1262
East,2015,7,7.056
East,2017,11,5.1012
East,2017,11,-1.9272
East,2017,11,-10.5798
Central,2017,4,8.662
West,2016,6,13.734
South,2018,11,2.6964
South,2018,11,1.7955
Central,2017,3,146.4036
East,2017,9,11.151
East,2017,9,90.294
Central,2018,7,2.9835
Central,2018,7,-146.16
Central,2018,10,-18.186
South,2017,3,85.2475
South,2017,3,-3.8385
South,2017,2,160.9139
West,2015,5,125.2692
West,2015,5,37.9962
East,2016,7,-29.4812
East,2016,7,2.436
East,2016,7,56.5776
East,2016,4,4.3524
East,2016,4,22.764
East,2016,4,27.7911
East,2016,4,3.2944
West,2018,12,7.2268
West,2018,12,22.9488
East,2017,11,1.6008
Central,2016,3,-29.2524
East,2016,4,4.5216
East,2016,4,-2.2134
East,2016,4,1.2792
East,2016,4,-27.7158
East,2016,4,0.2353
East,2016,4,-46.225
West,2017,10,12.178
Central,2018,9,-0.3488
East,2016,7,-18.4624
West,2016,11,5.0596
West,2017,4,9.9468
East,2018,11,3.024
West,2017,11,-4.598
West,2017,11,-3.3488
West,2017,11,1.999
Central,2017,9,10.6288
West,2018,9,33.5888
West,2018,9,8.4888
West,2018,9,2.322
Central,2016,11,9.3624
Central,2016,11,121.7601
East,2017,3,-264.9208
East,2017,3,12.1348
East,2017,3,105.2468
East,2017,3,2400.9657
Central,2017,8,3.1104
West,2017,8,7.1976
West,2017,8,1.512
South,2018,6,1.999
South,2018,6,25.1944
West,2016,12,33.642
West,2016,12,19.1786
East,2016,12,14.161
East,2016,12,103.2284
South,2018,1,30.4682
South,2018,1,-28.6272
West,2015,6,11.196
West,2017,6,2.0416
West,2017,6,4.1031
West,2017,6,9.6657
West,2017,6,2.5056
Central,2018,4,-4.7145
Central,2018,4,-4.9878
West,2017,10,11.2308
Central,2017,11,-16.3644
Central,2017,11,-0.7566
Central,2017,11,-17.248
Central,2017,11,21.888
Central,2017,11,13.8267
Central,2017,11,25.186
Central,2017,11,-2.0264
West,2018,12,16.3352
West,2018,12,-12.6882
West,2018,12,57.5904
West,2017,7,3.024
South,2016,9,137.151
South,2016,9,111.591
South,2016,9,2.0492
South,2016,9,7.4872
South,2015,1,181.9818
South,2015,1,6.6584
South,2015,1,11.58
South,2015,1,1.7901
South,2015,1,10.9698
South,2015,1,224.2674
Central,2016,3,2.6416
Central,2016,3,50.94
South,2017,4,75.6624
South,2017,4,28.755
West,2017,12,9.3312
East,2017,6,-23.364
East,2017,6,2.646
South,2017,12,7.4571
Central,2017,11,129.384
Central,2017,11,10.5504
Central,2017,11,8.991
Central,2017,11,5.5566
Central,2017,11,8.69
West,2015,9,53.196
West,2015,9,2.8776
West,2015,9,3.1104
West,2015,9,223.054
West,2015,9,16.7886
Central,2016,4,107.346
Central,2016,4,2.628
Central,2016,4,5.8696
Central,2016,4,0.438
Central,2016,4,209.993
East,2016,5,1.2528
West,2017,12,1.638
West,2017,12,53.9217
South,2015,12,0
South,2015,12,493.7856
South,2015,12,29.2857
South,2015,12,100.122
West,2017,7,19.5184
Central,2018,6,90.735
Central,2018,6,5.77
West,2015,9,15.6426
East,2015,3,4.5954
East,2015,3,40.872
East,2015,3,9.1785
Central,2015,5,21.06
